PMID,Author ,Year,subjects,x,y,z,Contrast,Direction,
22451310,Liang,2012,32,24,-57,45,ADMCI,Decrease,
22451310,Liang,2012,32,-42,-48,54,ADMCI,Decrease,
22451310,Liang,2012,32,-36,-48,48,ADMCI,Decrease,
22451310,Liang,2012,32,54,15,15,ADMCI,Decrease,
23668966,Hahn,2013,54,-12,-54,33,ADMCI,Decrease,
23668966,Hahn,2013,54,27,-6,33,ADMCI,Decrease,
23668966,Hahn,2013,54,-27,-84,9,ADMCI,Decrease,
24771519,Myers,2014,35,8,-66,32,ADMCI,Decrease,
24771519,Myers,2014,35,50,-58,50,ADMCI,Decrease,
24996404,Koch,2015,40,8,-66,32,ADMCI,Decrease,
24996404,Koch,2015,40,50,-58,50,ADMCI,Decrease,
25444600,Das,2015,69,-17,18,-18,ADMCI,Decrease,
25444600,Das,2015,69,-53,-29,-2,ADMCI,Decrease,
25444600,Das,2015,69,52,-26,14,ADMCI,Decrease,
25745400,Yi,2015,32,-8,-64,2,ADMCI,Decrease,
25745400,Yi,2015,32,-36,24,-6,ADMCI,Decrease,
