,Unnamed: 0,PMID,Author ,Year,Cambridge_Scale7_label,x,y,z
214,29,25444600,Das,2015,2.0,,,
215,30,25444600,Das,2015,2.0,,,
216,31,25444600,Das,2015,2.0,,,
217,32,25444600,Das,2015,2.0,,,
218,33,25444600,Das,2015,2.0,,,
219,34,25547636,Gardini,2015,5.0,,,
220,35,25547636,Gardini,2015,5.0,,,
221,36,23313926,Zhu,2013,5.0,,,
222,37,23313926,Zhu,2013,5.0,,,
223,38,23313926,Zhu,2013,2.0,,,
224,39,23313926,Zhu,2013,2.0,,,
225,40,18003904,Sorg,2007,4.0,,,
226,41,18003904,Sorg,2007,4.0,,,
227,42,18003904,Sorg,2007,7.0,,,
228,43,18003904,Sorg,2007,6.0,,,
229,44,18003904,Sorg,2007,6.0,,,
230,45,18003904,Sorg,2007,5.0,,,
231,46,18003904,Sorg,2007,3.0,,,
232,47,18003904,Sorg,2007,7.0,,,
233,48,21982164,Jin,2012,5.0,,,
234,49,23668966,Hahn,2013,5.0,,,
235,50,23668966,Hahn,2013,5.0,,,
236,51,23668966,Hahn,2013,6.0,,,
237,52,23668966,Hahn,2013,7.0,,,
238,53,23668966,Hahn,2013,6.0,,,
239,54,23668966,Hahn,2013,6.0,,,
240,55,23668966,Hahn,2013,7.0,,,
241,56,23668966,Hahn,2013,4.0,,,
242,57,24771519,Myers,2014,5.0,,,
243,58,24771519,Myers,2014,5.0,,,
244,59,24771519,Myers,2014,5.0,,,
245,60,24771519,Myers,2014,5.0,,,
246,61,24771519,Myers,2014,6.0,,,
247,62,24771519,Myers,2014,5.0,-42.0,-60.0,28.0
248,63,24771519,Myers,2014,5.0,,,
249,64,24771519,Myers,2014,5.0,,,
250,65,24771519,Myers,2014,6.0,6.0,-66.0,34.0
251,66,24771519,Myers,2014,5.0,,,
252,67,24771519,Myers,2014,5.0,,,
253,68,24771519,Myers,2014,6.0,,,
254,69,24771519,Myers,2014,6.0,,,
255,70,24771519,Myers,2014,5.0,,,
256,71,24771519,Myers,2014,5.0,,,
257,72,24771519,Myers,2014,5.0,,,
258,73,24771519,Myers,2014,5.0,,,
259,74,24771519,Myers,2014,5.0,,,
260,75,24771519,Myers,2014,5.0,,,
261,76,24771519,Myers,2014,5.0,,,
262,77,24771519,Myers,2014,5.0,,,
263,78,24771519,Myers,2014,5.0,,,
264,79,24771519,Myers,2014,5.0,,,
265,80,24771519,Myers,2014,5.0,,,
266,81,24771519,Myers,2014,5.0,,,
267,82,24771519,Myers,2014,5.0,,,
268,83,24771519,Myers,2014,6.0,,,
269,84,24771519,Myers,2014,6.0,,,
270,85,24771519,Myers,2014,5.0,,,
271,86,24771519,Myers,2014,5.0,,,
272,87,24771519,Myers,2014,1.0,,,
273,88,24771519,Myers,2014,6.0,,,
274,89,24771519,Myers,2014,6.0,,,
275,90,24771519,Myers,2014,5.0,,,
276,91,24771519,Myers,2014,6.0,,,
277,92,24771519,Myers,2014,1.0,,,
278,93,24771519,Myers,2014,6.0,,,
279,94,24771519,Myers,2014,5.0,,,
280,95,24771519,Myers,2014,7.0,24.0,16.0,66.0
281,96,24771519,Myers,2014,2.0,,,
282,97,24771519,Myers,2014,5.0,,,
283,98,24771519,Myers,2014,5.0,,,
284,99,24771519,Myers,2014,6.0,,,
285,100,24771519,Myers,2014,2.0,,,
286,101,24771519,Myers,2014,6.0,,,
287,102,24771519,Myers,2014,1.0,,,
288,103,24771519,Myers,2014,6.0,,,
289,104,24771519,Myers,2014,4.0,,,
290,105,24771519,Myers,2014,6.0,,,
291,106,24771519,Myers,2014,6.0,,,
292,107,24771519,Myers,2014,6.0,,,
293,108,24771519,Myers,2014,6.0,,,
294,109,24771519,Myers,2014,6.0,,,
295,110,24771519,Myers,2014,6.0,,,
296,111,24771519,Myers,2014,6.0,,,
297,112,24771519,Myers,2014,5.0,,,
298,113,24771519,Myers,2014,6.0,,,
299,114,24771519,Myers,2014,7.0,,,
300,115,24771519,Myers,2014,6.0,,,
301,116,24771519,Myers,2014,2.0,,,
302,117,24771519,Myers,2014,6.0,,,
303,118,24771519,Myers,2014,6.0,,,
304,119,24771519,Myers,2014,6.0,,,
305,120,24771519,Myers,2014,7.0,,,
306,121,24771519,Myers,2014,7.0,,,
307,122,24771519,Myers,2014,7.0,,,
308,123,24771519,Myers,2014,7.0,,,
309,124,24771519,Myers,2014,7.0,0.0,20.0,16.0
310,125,24771519,Myers,2014,7.0,,,
311,126,24771519,Myers,2014,7.0,,,
312,127,24771519,Myers,2014,7.0,,,
313,128,24996404,Koch,2015,5.0,,,
314,129,24996404,Koch,2015,5.0,,,
315,130,24996404,Koch,2015,5.0,,,
316,131,24996404,Koch,2015,5.0,,,
317,132,24996404,Koch,2015,6.0,,,
318,133,24996404,Koch,2015,5.0,,,
319,134,24996404,Koch,2015,5.0,,,
320,135,24996404,Koch,2015,5.0,,,
321,136,24996404,Koch,2015,6.0,6.0,-66.0,34.0
322,137,24996404,Koch,2015,5.0,,,
323,138,24996404,Koch,2015,5.0,,,
324,139,24996404,Koch,2015,6.0,,,
325,140,24996404,Koch,2015,6.0,,,
326,141,24996404,Koch,2015,5.0,,,
327,142,24996404,Koch,2015,5.0,,,
328,143,24996404,Koch,2015,5.0,,,
329,144,24996404,Koch,2015,5.0,,,
330,145,24996404,Koch,2015,5.0,,,
331,146,24996404,Koch,2015,5.0,,,
332,147,24996404,Koch,2015,5.0,,,
333,148,24996404,Koch,2015,5.0,,,
334,149,24996404,Koch,2015,5.0,,,
335,150,24996404,Koch,2015,5.0,,,
336,151,24996404,Koch,2015,5.0,,,
337,152,24996404,Koch,2015,5.0,,,
338,153,24996404,Koch,2015,5.0,,,
339,154,24996404,Koch,2015,5.0,,,
340,155,24996404,Koch,2015,6.0,,,
341,156,24996404,Koch,2015,6.0,,,
342,157,24996404,Koch,2015,5.0,,,
343,158,24996404,Koch,2015,5.0,,,
344,159,24996404,Koch,2015,1.0,,,
345,160,24996404,Koch,2015,6.0,,,
346,161,24996404,Koch,2015,6.0,,,
347,162,24996404,Koch,2015,5.0,,,
348,163,24996404,Koch,2015,6.0,,,
349,164,24996404,Koch,2015,1.0,,,
350,165,24996404,Koch,2015,6.0,,,
351,166,24996404,Koch,2015,5.0,,,
352,167,24996404,Koch,2015,7.0,24.0,16.0,66.0
353,168,24996404,Koch,2015,2.0,,,
354,169,24996404,Koch,2015,5.0,,,
355,170,24996404,Koch,2015,5.0,,,
356,171,24996404,Koch,2015,6.0,,,
357,172,24996404,Koch,2015,2.0,,,
358,173,24996404,Koch,2015,6.0,,,
359,174,24996404,Koch,2015,1.0,,,
360,175,24996404,Koch,2015,6.0,,,
361,176,24996404,Koch,2015,4.0,,,
362,177,24996404,Koch,2015,6.0,,,
363,178,24996404,Koch,2015,6.0,,,
364,179,24996404,Koch,2015,6.0,,,
365,180,24996404,Koch,2015,6.0,,,
366,181,24996404,Koch,2015,6.0,,,
367,182,24996404,Koch,2015,6.0,,,
368,183,24996404,Koch,2015,6.0,,,
369,184,24996404,Koch,2015,5.0,,,
370,185,24996404,Koch,2015,6.0,,,
371,186,24996404,Koch,2015,7.0,,,
372,187,24996404,Koch,2015,6.0,,,
373,188,24996404,Koch,2015,2.0,,,
374,189,24996404,Koch,2015,6.0,,,
375,190,24996404,Koch,2015,6.0,,,
376,191,24996404,Koch,2015,6.0,,,
377,192,24996404,Koch,2015,7.0,,,
378,193,24996404,Koch,2015,7.0,,,
379,194,24996404,Koch,2015,7.0,,,
380,195,24996404,Koch,2015,7.0,,,
381,196,24996404,Koch,2015,7.0,0.0,20.0,16.0
382,197,24996404,Koch,2015,7.0,,,
383,198,24996404,Koch,2015,7.0,,,
384,199,24996404,Koch,2015,7.0,,,
385,200,25043909,Pasquini,2015,5.0,,,
386,201,25043909,Pasquini,2015,5.0,,,
387,202,25043909,Pasquini,2015,5.0,,,
388,203,25043909,Pasquini,2015,6.0,,,
389,204,25043909,Pasquini,2015,5.0,,,
390,205,25043909,Pasquini,2015,5.0,,,
391,206,25043909,Pasquini,2015,2.0,,,
392,207,25043909,Pasquini,2015,1.0,,,
393,208,25043909,Pasquini,2015,1.0,,,
394,209,25043909,Pasquini,2015,2.0,,,
395,210,25043909,Pasquini,2015,2.0,,,
396,211,25043909,Pasquini,2015,2.0,17.0,-14.0,-22.0
397,212,25043909,Pasquini,2015,2.0,,,
398,213,25043909,Pasquini,2015,5.0,,,
399,214,25043909,Pasquini,2015,5.0,,,
400,215,25043909,Pasquini,2015,1.0,-3.0,-29.0,-28.0
401,216,25043909,Pasquini,2015,1.0,3.0,-29.0,-28.0
402,217,25043909,Pasquini,2015,5.0,,,
403,218,25043909,Pasquini,2015,5.0,,,
404,219,25043909,Pasquini,2015,1.0,,,
405,220,25043909,Pasquini,2015,5.0,,,
406,221,25745400,Yi,2015,5.0,,,
407,222,25745400,Yi,2015,7.0,,,
408,223,21862179,Binnewijzend,2012,6.0,,,
409,224,21862179,Binnewijzend,2012,6.0,,,
410,225,21862179,Binnewijzend,2012,3.0,,,
411,226,21862179,Binnewijzend,2012,4.0,,,
412,227,21862179,Binnewijzend,2012,4.0,,,
413,228,21862179,Binnewijzend,2012,1.0,,,
414,229,21862179,Binnewijzend,2012,7.0,,,
415,230,21862179,Binnewijzend,2012,5.0,,,
416,231,21862179,Binnewijzend,2012,6.0,,,
417,232,21862179,Binnewijzend,2012,7.0,,,
418,233,21862179,Binnewijzend,2012,7.0,,,
419,234,21862179,Binnewijzend,2012,5.0,,,
420,235,21862179,Binnewijzend,2012,5.0,,,
